PROMODS_PO,STM
PODSREDA - SENOVO,365
BREŽICE - ČATEŽ,366
KRŠKO - SP.POHANCA,367
BREŽICE - DOBOVA,368
ZAVRATEC - SMEDNIK,369
ROVTE -  ŽIRI,370
DRNOVO - KRIŽAJ,371
PODZEMELJ - DOLENJCI,372
ŽUNIČI - VINICA,373
VINICA - STARI TRG,374
ŠMARTNO - GRM,375
KAMNIK - TUHINJ,376
GORNJI DOLIČ - STRANICE,377
RADLJE - RIBNICA,378
RIBNICA - BREZNO,379
PRIKLJ. SNEBERJE - ŠENTJAKOB,380
ŠENTJAKOB - DOMŽALE,381
DOMŽALE - DUPLICA,382
IG - LJ (PERUZZIJEVA),383
PUDOB - BABNO POLJE,384
SODRAŽICA - HRIB,385
BLOŠKA POLICA - PUDOB,386
IVANČNA GORICA - KRKA,387
MLAČEVO - VIDEM,388
POL.GRADEC - DOBROVA,389
D.TREBUŠA - SP.IDRIJA,390
LITIJA - ŠMARTNO,391
RAKEK - LOGATEC,392
LOGATEC - ROVTE,393
ŽIRI - TREBIJA,394
LOGATEC - PRIKLJ. LOGATEC,395
LOGATEC - PRIKLJ. LOGATEC,395
IL.BISTRICA - ZABIČE,396
PODGRAD - IL.BISTRICA,397
IL.BISTRICA - PIVKA,398
RAČE - ŠIKOLE,399
LEŠNICA - OTOČEC,400
ZAVRATEC - ŠKOCJAN,401
ŠMARJEŠKE TOPLICE - DOLENJE KRONOVO,402
KRIŽ.MORETINI - ANKARAN,403
PERŠETI - MOST NA SOČI,405
DOL TREBUŠA - ŽELIN,406
MOKRONOG - ZBURE,407
GORENJA VAS - TREBIJA,408
TREBIJA - SOVODENJ,409
RAŠICA - ŽLEBIČ,410
BISTRICA OB SOTLI - MP BISTRICA,411
GOLOBINJEK - BISTRICA,412
BISTRICA - BIZELJSKO,413
ROGATEC,414
IMENO - MP IMENO,415
ŠKOCJAN - DOBRUŠKA VAS,416
MEDLOG - CELJE,417
DIVAČA - LOKEV-LIPICA,418
DUTOVLJE - REPENTABOR,419
CELJE - ŠTORE,420
FRAM - RAČE,421
GORJANSKO - KLARIČI,422
SPUHLJA - GORIŠNICA,424
KRIŽ.SPUHLJA - PTUJ,425
ŠIKOLE - KIDRIČEVO,426
COL - AJDOVŠČINA,427
PRELASKO - BUČE-KOZJE,428
POČEHOVA - ZG.KUNGOTA,429
MP HODOŠ - HODOŠ,430
GIBINA - RAZKRIŽJE,431
POLJANA - PREVALJE,432
DORNAVA - KRIŽ.SPUHLJA,433
ČRNA - ŠENTVID,434
BIZELJSKO  -  OREŠJE,435
GROSUPLJE - IVANČNA GOR.,436
ZADVOR - ŠMARTNO P.LITIJI,437
DVORJANE - PTUJ,438
PREBOLD - SPODNJE GABRSKO,439
MAJŠPERK - APAŠKI KRIŽ,441
SENARSKA - LENART,442
PETANJCI - GEDEROVCI,443
GEDEROVCI - SKAKOVCI,444
BOSLJIVA LOKA - OSILNICA,445
RADENCI - PETANJCI,446
ŽELIN - SP. IDRIJA(MAROF),447
MOKRONOG - BOŠTANJ,448
ČEPOVAN - DOL.TREBUŠA,449
METLIKA - PODZEMELJ,450
DOLENJCI - VRHOVCI,451
STARI TRG - BREZOVICA,452
ŠTORJE - ŠTANJEL,453
BREG  -  LISCA,454
KANAL-LIG-MIŠČEK-NEBLO,455
AJDOVŠČINA - PREDMEJA,456
BRANIK - KOMEN,457
KOMEN  - KRAJNA VAS,458
LUKANJA - OPLOTNICA,459
RUČETNA VAS - ŠTREKLJEVEC,460
PRI CERKVI STRUGE - ZVIRČE,461
ZAGRADEC - AMBRUS-ŽVIRČE,462
ZVIRČE - SMUKA,463
VODICE,464
ŠTALCERJI - KOČ. REKA,465
LIVOLD - BREZOVICA,466
ŽELJNE - ROG-BAZA-PODTURN,467
DOBLIČE - SV.ANA-STARI TRG,468
ŠTREKLJEVEC - JUGORJE,469
GORNJI MIREN - MIREN,470
SP. POHANCA - (R1-219),471
VOLČJA DRAGA - RENČE,472
PRIKLJ.  VOGRSKO - VOLČJA DRAGA,473
RIBNICA - PREM,474
GABRJE - RATEŽ,475
NOVO MESTO - RATEŽ,476
KOPRIVNA - ČRNA,477
M.SOBOTA(GAJ) - PRIK.M.S.,479
DRAVOGRAD - OTIŠKI VRH,480
KOZMINCI-ŽETALE - ROGATEC,481
GORTINA - BISTRIŠKI JAREK,482
DRAVOGRAD - TRBONJE,483
TRBONJE - VUZENICA,484
TRBONJE - GORTINA,485
OŽBALT - ZG. KAPLA,486
ŠALOVCI - PETROVCI,487
MB (MALEČNIK) - PERNICA,488
LEMERJE - GRAD,489
LEMERJE - SKAKOVCI,490
GORICA - LEMERJE,491
FOKOVCI - PROSENJAKOVCI,492
KOBILJE - DOBROVNIK,493
MORAVSKE TOPLICE - DOBROVNIK,494
ZG. HOČE - POHORSKA VZPENJAČA,495
KALCE - PODKRAJ,497
GRDA DRAGA -  PUDOB,498
MARTJANCI - M.SOBOTA,499
SEČOVLJE - MP SEČOVLJE,500
LOKA - PODPEČ-RAKITOVEC,501
SOČERGA  -  MP  SOČERGA,502
MP STAROD - PODGRAD,503
DOLNJI ZEMON  -  MP JELŠANE,504
KASTELEC - PODGORJE,505
HRIB - PODPLANINA,506
PETRINA - MP PETRINA,507
ŽUNIČI - MP ŽUNIČI,508
KOT - SODEVCI,509
FRAM - KOPIVNIK,510
OBREŽJE TERMINAL - MP OBREŽJE,511
BREŽICE - PRIKLJ. OBREŽJE,512
KAPELE - RAKOVEC,513
ST.VAS - FIGAROV MOST,514
MP  NOVA VAS - PIŠECE,515
MP  NOVA VAS - PIŠECE,515
PREM - IL.BISTRICA,516
RODNE - MP RAJNKOVEC,517
IL.BISTRICA - GRDA DRAGA,519
BORL-CIRKULANE - MP MEJE,520
VIDEM - ZG. LESKOVEC,521
SREDIŠČE OB DRAVI  -  MP SRED.,522
JELŠANE - NOVOKRAČINE,523
MP MARTINJE - MARTINJE,524
RADOVIČI - MP BOŽAKOVO,525
PODGRAD - OBROV,526
OBROV - GOLAC,527
ROČINJ - LIG,528
KAMBREŠKO - SOLARJI,529
HRUŠICA - PLAVŽ,530
JESENICE - JAVORNIK,531
MOST NA SOČI - UŠNIK,532
MOST NA SOČI - BAČA,533
ČEPOVAN - MOST NA SOČI,534
BOVEC(PO OBVOZNICI) - ŽAGA,535
KLUŽE - BOVEC,536
STRMEC - MANGART,537
PODBRDO - PETROVO BRDO,538
PETROVO BRDO - PODROŠT,539
SORICA - PETROVO BRDO,540
SORICA - PODROŠT,541
PODROŠT - ZALI LOG,542
RUDNO - ČEŠNJICA,543
KROPA - RUDNO,544
RUDNO - ROVTARICA,545
PERŠETI - UŠNIK,546
OVSIŠE - GOBOVCE,547
PODTABOR - ZVIRČE,549
NEBLO - MP NEBLO,550
ŽAGA - UČJA,551
MEŽICA - REHT,552
ZG.KUNGOTA - JURIJ,553
ZVIRČE - PODTABOR,554
BISTRICA - TRŽIČ,555
TRŽIČ - GOLNIK,556
ŽIROVNICA - LESCE,557
AJŠEVICA  -  NOVA GORICA,558
MIREN - OPATJE SELO,559
RENČE - GORNJI MIREN,560
PEROVO - GROSUPLJE,561
VNANJE GORICE - BREZOVICA,562
RAKITNA - CERKNICA,563
GRM - PLUSKA,564
ZBURE - ŠMARJEŠKE TOPLICE,565
NOVO MESTO (LOČNA - MAČKOVEC),566
NOVO MESTO (LOČNA - MAČKOVEC),566
SLOV.KONJICE - ŽIČE,567
TEPANJE - ŽIČE,568
SL.BISTRICA - LOŽNICA,569
ODCEP PRIKLJ. SL. BISTRICA S,570
MUTA - GORTINA,571
MB (MALEČNIK-most) - MB (MALEČNIK),572
BREZNO - RUTA,573
ORMOŽ Z  -  ORMOŽ V,574
PAVLOVCI - ORMOŽ,575
VUČJA VAS - KRIŽEVCI,576
MOZIRJE - SOTESKA,577
GORENJE - SOTESKA,578
MEŽICA - ČRNA,579
LAŠKO - ŠMARJETA,580
BOŠTANJ,581
BEVŠKO - TRBOVLJE,582
ZAGORJE - MOST ČEZ SAVO,583
HRASTNIK - MOST ČEZ SAVO,584
SVETINA  -  BRSTNIK,585
APAŠKI KRIŽ  -  KIDRIČEVO,586
ŽIHLAVA - VIDEM,587
KOT - GRGELJ,588
ZAVRHEK - ARTVIŽE,589
PREGARJE - OBROV,590
PREGARJE - HARIJE,591
ČELJE - PREGARJE,592
ARTVIŽE - PREGARJE,593
GRABONOŠ - SP. IVANJCI,594
SP.IVANJCI - GORNJA RADGONA,595
SV. TROJICA-COGETINCI - SP.IVANJCI,596
LENART - SVETA TROJICA,597
DOBROVA - LJ(DOLGI MOST),598
SOLKAN - GRGAR,599
RUTA - SELNICA,600
VIŠNJA GORA - IVANČNA GORICA,601
KRONOVO - DOBRUŠKA VAS,602
JAVORNIK - ŽIROVNICA,603
OBROV - KOZINA,604
RADLJE - BREZNO,605
MIKLAVŽ - HAJDINA,606
NOVO MESTO (REVOZ) - METLIKA,607
LOŽNICA - TEPANJE,608
VRBENSKO POLJE - ŠEMPETER,609
ŽELODNIK - DOMŽALE,610
BREZOVICA - VRHNIKA,611
PLANINA - RAVBARKOMANDA,612
ŠTORJE - SEŽANA,613
KOZINA  -  KASTELEC,614
PIVKA - RIBNICA,615
UŠNIK - KANAL,616
SP. IDRIJA - GODOVIČ,617
ČEŠNJICA - ŠKOFJA LOKA,618
DOLENJA VAS - KOČEVJE,619
LITIJA - ZAGORJE,620
LUŽNIK - GORNJI DOLIČ,621
ŠENTJUR - ŠMARJE PRI JELŠAH,622
PETANJCI - M.SOBOTA(GAJ),623
VIPAVA - AJDOVŠČINA,624
KR (LABORE) - JEPRCA,625
LETALIŠČE BRNIK - SP.BRNIK,627
ŠENTILJ - PESNICA,628
IMPOLJCA - BRESTANICA,630
GOZD MARTULJEK - MOJSTRANA-DOVJE,631
LESCE - RADOVLJICA,632
GRM - ŠENTJURIJ,634
AJDOVŠČINA - SELO,635
STROČJA VAS - LJUTOMER,636
PTUJ - HAJDINA,637
PTUJ - SPUHLJA,638
HAJDINA  (Mariborska c.- Gomile),639
PRAGERSKO - ŠIKOLE,641
MEDVODE - STANEŽIČE,643
RAZDRTO - MANČE,644
LJ (MALENCE)  -  ŠMARJE-SAP,645
LIPCE - LESCE,646
NAKLO - KRANJ Z,647
CELJE - CELJE ZAHOD,648
ANKARAN - MP LAZARET,650
MP ŠKOFIJE  -  PLAVJE,651
KOZINA - MP KOZINA,652
FERNETIČI - MP FERNETIČI,653
N.GORICA - ROŽNA DOLINA,654
MP ROBIČ - ROBIČ,655
MP PREDEL - KLUŽE,657
MP RATEČE - RATEČE,658
MP KORENSKO SEDLO - PODKOREN,659
MP LJUBELJ - BISTRICA(TRŽIČ),660
MP ZG.JEZERSKO - ZG.JEZERSKO,661
MP HOLMEC - POLJANA,662
MP VIČ - DRAVOGRAD,663
ŠENTILJ,664
MP G.RADGONA - G.RADGONA,665
SOTINA - MP KUZMA,666
MLAČE - POLJČANE,667
RADLJE - RADELJSKI PRELAZ,668
SP.BRNIK - CERKLJE,669
PTUJ(TURNIŠČE - BUDINA),670
VRTOJBA - MP VRTOJBA,671
ČRNEČE - MP LIBELIČE,672
MP KARAVANKE - HRUŠICA,673
MP ŠENTILJ - POČIVALIŠČE ŠENTILJ,674
DOLINA - MP PINCE,675
DOBOVA - M.P. RIGONCE,676
MOKRICE  -  OBREŽJE - SLOV. VAS,677
RIBČE - LITIJA,678
KOBARID - IDRSKO,679
VEČESLAVCI - SOTINA,681
