STM,STM_lon,STM_lat,PROMODS_PO
315.0,15.1408898227011,46.3765521530074,GORNJI DOLIČ - VELENJE
316.0,15.3852336808404,46.2473072102001,DRAMLJE - DOLE
317.0,15.4823175196981,46.3136251969308,ŽIČE - MLAČE
318.0,15.6336887151085,46.3113633306594,POLJČANE - MAJŠPERK
319.0,14.9828033319426,46.5274214133711,RAVNE - KOTLJE
320.0,15.1847630129695,46.3233785653113,DOBRNA - ČRNOVA
321.0,15.286683737646,46.3064138383763,VIŠNJA VAS - STRMEC
323.0,14.8610665577838,46.5383346459458,POLJANA - MEŽICA
324.0,15.0476137904807,46.3979538169851,ŠENTVID - ŠOŠTANJ
325.0,14.4617246153499,46.1165027083216,LJ(ŠENTVID - ŠMARTNO)
326.0,15.1133192081895,46.3398298450613,VELENJE - POLZELA
327.0,15.3449357630191,46.4663468535082,PESEK - ROGLA
328.0,15.3999242392736,46.546248633754,RUTA - LOVRENC
329.0,15.0978475708522,46.4966993532619,SL.GRADEC - LUŽNIK
330.0,15.4432466488279,46.3839081209397,SL.KONJICE - OPLOTNICA
331.0,15.5226855492429,46.3828514782494,OPLOTNICA - LOŽNICA
332.0,14.6692495279854,46.1621496412222,LUKOVICA  -  ŽELODNIK
333.0,15.56585844888,46.069545016404,ŠONOVO - PODSREDA
334.0,16.050912038141,46.6785640776915,VEŠČICA - GEDEROVCI
335.0,15.6105528126198,46.0385062384919,PODSREDA - BISTRICA
336.0,15.7143748754024,46.2858468338089,ROGATEC - MAJŠPERK
337.0,15.759622104564,46.2094906009751,ROGATEC - MP DOBOVEC
338.0,15.8683574321761,46.5459108594377,GOMILCI - SENARSKA
339.0,15.8329247245661,46.6017576596305,LENART - KRIŽ. SV.ANA
340.0,16.0524505110763,46.38942345994,BORL - MP ZAVRČ
341.0,15.981765024415,46.3754149970411,SPUHLJA - BORL
342.0,15.7141334879384,46.5148613131301,MARIBOR - DVORJANE
343.0,16.031683488214,46.6188927957657,GRABONOŠ - RADENCI
344.0,16.0250992696605,46.7249518019258,CANKOVA - VEČESLAVCI
345.0,16.1378257637462,46.6642990411055,MURSKA SOBOTA - VEŠČICA
346.0,16.2734789757578,46.63341148552,RENKOVCI - BELTINCI
347.0,16.1817426599522,46.5993727426819,DOKLEŽOVJE - KRIŽEVCI
348.0,15.2437301405318,46.3222323823064,STRMEC - DOBRNA
349.0,15.9771898757134,46.5642214184307,SV. JURIJ OB ŠČAVNICI - CERKVENJAK
350.0,15.6881697945867,46.6903508198098,ŠENTILJ - TRATE
352.0,16.0492973263701,46.6370858001404,RADENCI - VUČJA VAS
353.0,16.1724277937608,46.5385505415811,KRIŽEVCI - LJUTOMER
354.0,16.1566221868464,46.4629477444744,LJUTOMER - PAVLOVCI
355.0,16.2565702645599,46.3976967649364,ORMOŽ - SREDIŠČE OB DRAVI
356.0,16.0998500825055,46.8377124769572,MARTINJE -  KUZMA
357.0,16.0840218564383,46.5498875714785,KRIŽEVCI - ŽIHLAVA
358.0,16.4340488910926,46.5934335108184,DOBROVNIK - RONDO DOLGA VAS
359.0,16.3198473470182,46.6158180253577,RENKOVCI - ČRENŠOVCI
360.0,16.2724946745022,46.5524952351313,ČRENŠOVCI - RAZKRIŽJE
361.0,15.8978112608132,46.6970632607077,TRATE - GORNJA RADGONA
362.0,14.6040158842078,46.2054370927287,DUPLICA - KAMNIK
363.0,15.9469730317968,46.4522746375405,GABERNIK - ROGOZNICA(PTUJ)
364.0,15.4763023251145,46.0098773337813,SENOVO - BRESTANICA
365.0,15.5386691200567,46.0347119397888,PODSREDA - SENOVO
366.0,15.6043357981762,45.8987136269593,BREŽICE - ČATEŽ
367.0,15.5584720898312,45.9475812254509,KRŠKO - SP.POHANCA
368.0,15.6265241178678,45.8995385279042,BREŽICE - DOBOVA
369.0,15.3791423912081,45.9154958146378,ZAVRATEC - SMEDNIK
370.0,14.1482393363893,45.9950587013213,ROVTE -  ŽIRI
371.0,15.4504801248879,45.8692383279902,DRNOVO - KRIŽAJ
372.0,15.2770842003121,45.5907153295385,PODZEMELJ - DOLENJCI
373.0,15.2569375101127,45.4625433832788,ŽUNIČI - VINICA
374.0,15.2445876013356,45.4573245271043,VINICA - STARI TRG
375.0,14.8435835499145,46.0347614929078,ŠMARTNO - GRM
376.0,14.7583778810433,46.2181283535129,KAMNIK - TUHINJ
377.0,15.2986554899724,46.382580216464,GORNJI DOLIČ - STRANICE
378.0,15.2296262028331,46.5922621791296,RADLJE - RIBNICA
379.0,15.322890168866,46.5557241344458,RIBNICA - BREZNO
380.0,14.5817078232414,46.0825869228651,PRIKLJ. SNEBERJE - ŠENTJAKOB
381.0,14.5842850336498,46.0941402063266,ŠENTJAKOB - DOMŽALE
382.0,14.595121598651,46.1847839709714,DOMŽALE - DUPLICA
383.0,14.5296831053126,45.9641377038189,IG - LJ (PERUZZIJEVA)
384.0,14.5583157134257,45.6466473077357,PUDOB - BABNO POLJE
385.0,14.605866940378,45.746862644631,SODRAŽICA - HRIB
386.0,14.4693020528526,45.7178960365387,BLOŠKA POLICA - PUDOB
387.0,14.80504225715,45.9320114540943,IVANČNA GORICA - KRKA
388.0,14.6717793326748,45.9308718878276,MLAČEVO - VIDEM
389.0,14.3621226474361,46.0731003942701,POL.GRADEC - DOBROVA
390.0,13.8409953399223,46.090058314782,D.TREBUŠA - SP.IDRIJA
391.0,14.8427058738504,46.0575243880218,LITIJA - ŠMARTNO
392.0,14.269284790392,45.8588390919823,RAKEK - LOGATEC
393.0,14.2276999449899,45.9241882152043,LOGATEC - ROVTE
394.0,14.108558286641,46.0576688812415,ŽIRI - TREBIJA
395.0,14.2294820172797,45.9118461114938,LOGATEC - PRIKLJ. LOGATEC
396.0,14.2780069987209,45.5504534264749,IL.BISTRICA - ZABIČE
