key_0,STM,Month,S1: Motor-MO,S2: Motor-MO,id_stevca,Lat,Lon,cesta,ime_smeri
112,112,6,4.262037037037037,4.253240740740741,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
112,112,7,3.582885304659498,3.831989247311828,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
112,112,8,3.7005494505494507,3.9784798534798536,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
112,112,9,2.089814814814815,2.3097222222222222,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
112,112,10,1.146057347670251,1.1397849462365592,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
112,112,11,0.2446078431372549,0.24509803921568626,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
112,112,12,0.042572463768115944,0.03804347826086957,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
114,114,1,0.027777777777777776,0.05197132616487455,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,2,0.09215686274509804,0.12941176470588237,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,3,1.0026881720430108,1.075268817204301,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,4,2.115740740740741,2.300925925925926,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,5,2.911290322580645,3.1850358422939067,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,6,3.5967592592592594,3.7439814814814816,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,7,3.591845878136201,3.8270609318996414,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,8,3.8838028169014085,4.01349765258216,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,9,2.1958333333333333,2.347685185185185,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,10,1.0775089605734767,1.174731182795699,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,11,0.3037037037037037,0.31851851851851853,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
114,114,12,0.03853046594982079,0.04883512544802868,114.0,46.089892936049786,14.645936478107,G2-108,Dolsko - Šentjakob
115,115,1,0.04973118279569892,0.03539426523297491,115.0,46.18505774349521,14.559496021810501,G2-104,Mengeš - Moste
115,115,2,0.08823529411764706,0.07352941176470588,115.0,46.18505774349521,14.559496021810501,G2-104,Mengeš - Moste
